time_s,pos_m,setpoint_m,servo_deg
1.948,0.0848,0.15,46.0
1.952,0.0855,0.15,46.0
1.956,0.0847,0.15,46.0
1.959,0.0835,0.15,46.0
1.962,0.0792,0.15,46.0
1.966,0.0729,0.15,82.0
1.969,0.0664,0.15,102.0
1.972,0.0636,0.15,115.0
1.975,0.0585,0.15,123.0
1.978,0.0558,0.15,128.0
1.981,0.0529,0.15,130.0
1.985,0.0502,0.15,132.0
1.988,0.0484,0.15,133.0
1.991,0.0473,0.15,134.0
1.994,0.0476,0.15,134.0
1.997,0.0481,0.15,134.0
2.0,0.0471,0.15,134.0
2.003,0.0494,0.15,134.0
2.007,0.0504,0.15,134.0
2.01,0.053,0.15,110.0
2.014,0.055,0.15,96.0
2.017,0.0567,0.15,88.0
2.02,0.0604,0.15,83.0
2.023,0.0488,0.15,79.0
2.026,0.0396,0.15,78.0
2.03,0.0475,0.15,100.0
2.032,0.0384,0.15,114.0
2.036,0.0438,0.15,122.0
2.038,0.0358,0.15,127.0
2.041,0.0301,0.15,130.0
2.044,0.0251,0.15,132.0
2.048,0.0366,0.15,133.0
2.051,0.0406,0.15,134.0
2.054,0.0431,0.15,134.0
2.058,0.0483,0.15,134.0
2.061,0.0479,0.15,134.0
2.064,0.0486,0.15,134.0
2.067,0.0482,0.15,134.0
2.07,0.0478,0.15,98.0
2.073,0.0478,0.15,78.0
2.077,0.0466,0.15,65.0
2.08,0.0469,0.15,57.0
2.082,0.0472,0.15,52.0
2.086,0.0464,0.15,50.0
2.088,0.047,0.15,48.0
2.092,0.0451,0.15,83.0
2.095,0.0458,0.15,103.0
2.098,0.0453,0.15,116.0
2.101,0.045,0.15,123.0
2.104,0.0447,0.15,128.0
2.108,0.0457,0.15,130.0
2.11,0.0465,0.15,132.0
2.114,0.0461,0.15,128.0
2.116,0.0371,0.15,125.0
2.119,0.0329,0.15,124.0
2.122,0.0274,0.15,123.0
2.124,0.0233,0.15,122.0
2.127,0.0205,0.15,122.0
2.13,0.0181,0.15,122.0
2.132,0.0161,0.15,122.0
2.135,0.0143,0.15,127.0
2.138,0.0135,0.15,130.0
2.14,0.0124,0.15,132.0
2.143,0.0121,0.15,133.0
2.146,0.012,0.15,133.0
2.149,0.012,0.15,134.0
2.151,0.0116,0.15,134.0
2.154,0.011,0.15,134.0
2.157,0.0114,0.15,134.0
2.159,0.0111,0.15,134.0
2.161,0.0108,0.15,134.0
2.164,0.0106,0.15,134.0
2.167,0.0102,0.15,134.0
2.169,0.0104,0.15,134.0
2.172,0.0101,0.15,134.0
2.175,0.0099,0.15,134.0
2.178,0.0181,0.15,134.0
2.182,0.0173,0.15,134.0
2.183,0.0155,0.15,134.0
2.186,0.0141,0.15,134.0
2.188,0.0131,0.15,134.0
2.191,0.0196,0.15,134.0
2.194,0.0242,0.15,134.0
2.198,0.0278,0.15,98.0
2.201,0.0307,0.15,78.0
2.204,0.0328,0.15,65.0
2.207,0.0347,0.15,57.0
2.209,0.0359,0.15,52.0
2.213,0.0367,0.15,50.0
2.215,0.0371,0.15,48.0
2.219,0.0377,0.15,47.0
2.221,0.039,0.15,46.0
2.224,0.04,0.15,46.0
2.227,0.0407,0.15,46.0
2.23,0.0415,0.15,46.0
2.233,0.0422,0.15,46.0
2.236,0.0426,0.15,46.0
2.239,0.042,0.15,61.0
2.242,0.0427,0.15,70.0
2.245,0.0351,0.15,75.0
2.247,0.0288,0.15,79.0
2.25,0.0248,0.15,81.0
2.253,0.0214,0.15,82.0
2.256,0.0183,0.15,82.0
2.258,0.016,0.15,83.0
2.261,0.0143,0.15,103.0
2.263,0.013,0.15,116.0
2.266,0.0125,0.15,123.0
2.269,0.0117,0.15,128.0
2.271,0.0115,0.15,130.0
2.274,0.0112,0.15,132.0
2.276,0.0107,0.15,133.0
2.279,0.0108,0.15,134.0
2.282,0.0104,0.15,134.0
2.284,0.0103,0.15,134.0
2.287,0.0102,0.15,134.0
2.291,0.0101,0.15,134.0
2.292,0.0101,0.15,134.0
2.295,0.0174,0.15,134.0
2.298,0.0231,0.15,134.0
2.301,0.0261,0.15,134.0
2.304,0.0293,0.15,98.0
2.307,0.0318,0.15,78.0
2.31,0.0348,0.15,65.0
2.313,0.0371,0.15,57.0
2.316,0.0389,0.15,52.0
2.319,0.0402,0.15,50.0
2.322,0.0402,0.15,48.0
2.325,0.0331,0.15,66.0
2.328,0.0274,0.15,77.0
2.33,0.0235,0.15,84.0
2.333,0.0204,0.15,88.0
2.335,0.0181,0.15,90.0
2.338,0.0163,0.15,91.0
2.34,0.0154,0.15,92.0
2.343,0.0139,0.15,92.0
2.346,0.0131,0.15,109.0
2.349,0.0121,0.15,119.0
2.351,0.0116,0.15,125.0
2.354,0.0112,0.15,129.0
2.356,0.0107,0.15,131.0
2.36,0.0108,0.15,133.0
2.362,0.0104,0.15,133.0
2.365,0.0103,0.15,134.0
2.367,0.0102,0.15,134.0
2.37,0.0173,0.15,134.0
2.373,0.0238,0.15,134.0
2.376,0.0286,0.15,134.0
2.379,0.0322,0.15,134.0
2.382,0.0339,0.15,134.0
2.385,0.0356,0.15,134.0
2.388,0.0377,0.15,98.0
2.391,0.04,0.15,78.0
2.394,0.0421,0.15,65.0
2.397,0.0445,0.15,57.0
